,created,text,location,hashtags,location#
0,2019-10-31 18:18:20,Nigga ain’t got nun but some Roman Noodles for them jits,,[],0
1,2019-10-31 18:10:53,"@RealAssJB 😂 I’m at work reading this shit, I done fucked around an said “wipe me down” lady talm bout excuse me 😂😂😭",,[],0
2,2019-10-31 18:09:01,@armasylvia @JoeyINTL @catturd2 You are proof of the level of stupidity of Trump supporters. You just responded to… https://t.co/rxPV2MW6kA,,[],0
3,2019-10-31 18:06:30,I’m cool on her I done had her... 😎,,[],0
4,2019-10-31 18:02:26,@aschuler_ny @AnnCoulter I was going to say she must be off her meds!,,[],0
5,2019-10-31 18:01:11,@gbfromoc @AnnCoulter I like you Jay B,,[],0
6,2019-10-31 17:39:17,@lenapple @realDonaldTrump Copy that,,[],0
7,2019-10-31 17:38:45,@bryanbehar And now he is bribing and extorting Senate Republicans with campaign cash donations in exchange for the… https://t.co/tOZjwQv2s1,,[],0
8,2019-10-31 17:31:13,Her vocal range is amazing! Listening to her sing gave me another reason of why I’m so proud to be the Principal of… https://t.co/hZI7hu8NkU,,[],0
9,2019-10-31 17:26:41,"@MiamiHerald @AP Billion currency me too,Mr. Dizenzo",,[],0
10,2019-10-31 17:19:06,Did you know 300 million lbs of fresh produce rots in the fields in #Florida while we have #hunger and… https://t.co/yujWVBlIpX,,"[Hashtag(Text='Florida'), Hashtag(Text='hunger')]",0
11,2019-10-31 16:37:23,This is so telling. If she really thinks there’s nothing wrong with what he did then why not just say so?… https://t.co/WLS2cFsqIC,,[],0
12,2019-10-31 16:32:41,@lizcheney_WY Why didn’t you mention the fact that #moscowmitch has hundreds of bills in his graveyard when you tal… https://t.co/0CBzPEmx4e,,[Hashtag(Text='moscowmitch')],0
13,2019-10-31 15:33:56,Cheese Danish from Starbucks so good,,[],0
14,2019-10-31 15:07:41,Para Myke Towers** https://t.co/5HBfEabzBy,,[],0
15,2019-10-31 14:39:57,@FoxNews is unwatchable right now with with left wing Chris Wallace providing commentary. Can he be more biased aga… https://t.co/JALlJWmDaT,,[],0
16,2019-10-31 12:48:34,"@blue_coming @realDonaldTrump Big Deal, The NBA are un-American. They knock this County that made them Multi Millio… https://t.co/9hPbvh0vBT",,[],0
17,2019-10-31 12:44:47,@parapitt @RealCandaceO You lie!,,[],0
18,2019-10-31 12:43:44,"@acephalelephant @Michael37421617 @WayneDupreeShow Just do it, stop talking about it",,[],0
19,2019-10-31 10:27:40,"@EBJunkies @moneymetalcakes @GlassJoeJP @drabtshirt @JunksRadio  As a life long die-hard RedSox fan, my earliest me… https://t.co/O06G7Bfdlg",,[],0
20,2019-10-31 05:16:15,@KatieHill4CA @BradleyWhitford @cspan I think you should reconsider considering Papadopolous set you up!!,,[],0
21,2019-10-31 05:15:08,@BarbMcQuade Even if it were true...SO WHAT??!! Does the way you catch the murderer change the fact that he KILLED… https://t.co/bMOWHrbMhB,,[],0
22,2019-10-31 05:01:00,@MeghanMcCain @GMA Not hard enough,,[],0
23,2019-10-31 04:23:39,@EBJunkies @granthpaulsen @MikeWiseguy @funnydanny @DanHellie Those of us still awake already know this attached su… https://t.co/JjGOYmaxtm,,[],0
24,2019-10-31 03:54:12,Woot Woot https://t.co/IOYcsTw9Xs,,[],0
25,2019-10-31 03:16:48,@NickTurturro1 As @Yankees fans you know you already have.,,[],0
26,2019-10-31 03:13:18,@IslesMarriott @Kmarkobarstool But they're still dead! #vivalastool #saturdaysarefortheboys https://t.co/nvMLNZFccg,,"[Hashtag(Text='vivalastool'), Hashtag(Text='saturdaysarefortheboys')]",0
27,2019-10-31 02:35:27,@stoolpresidente @laurawags One Wags...... everyone knows the tool! #vivalastool,,[Hashtag(Text='vivalastool')],0
28,2019-10-31 02:17:55,@FSUFootball up next 🍢 https://t.co/U3Txglp3xt,,[],0
29,2019-10-31 01:47:50,Sames! https://t.co/5zCk4ue7xn,,[],0
30,2019-10-31 01:28:56,Just got out of @jojorabbitmovie and it's legitimately one of the best movies I've seen this year. Outside of his c… https://t.co/72JukKfe4d,,[],0
31,2019-10-31 01:26:27,@Naannzzz Idk why I've never tried it before,,[],0
32,2019-10-30 23:18:20,"Thank you School Board Member, Karen Brill, for coming to West Boca Raton High School! Our students appreciated you… https://t.co/gEkGlHdKF7",,[],0
33,2019-10-30 23:17:15,@marklutchman Happy to see someone else loves Jesus,,[],0
34,2019-10-30 22:59:45,"stay low she on her own thing @ Kenco Ranch, Delray Beach, Florida https://t.co/KisWe6aSUg","{'type': 'Point', 'coordinates': [26.43399398, -80.19259408]}",[],0
35,2019-10-30 22:55:07,Glorious Day!!!! https://t.co/Mm1arxWsHW,,[],0
36,2019-10-30 20:32:04,@broadwaycom Margaret Hamilton.,,[],0
37,2019-10-30 19:47:33,What kindness and love! My 50th was amazing!! 🎂🎉🍾🥰 https://t.co/vcmbSnHFYt,,[],0
38,2019-10-30 17:03:13,"@ToyotaMotorCorp Hurry up second time, hurry up, Mr.Dizenzo",,[],0
39,2019-10-30 15:21:29,"Don't be shy. Score a job like ""Hair Stylist - 02405 - HC Lakeside Square at Loggers Run"" at Hair Cuttery Salon by… https://t.co/y1ztJm9UcX","{'type': 'Point', 'coordinates': [26.348932, -80.2331795]}",[],0
40,2019-10-30 14:17:11,@adamcarolla They’re all funny,,[],0
41,2019-10-30 14:13:17,Retweet this folks. It benefits veterans. https://t.co/MjdRNDCacZ,,[],0
42,2019-10-30 14:11:56,@DaleJr @ToddGilliland_ @KyleBusch Holy shit. I love Dale Jr. even more now. greatest response EVER,,[],0
43,2019-10-30 10:32:07,Hate the cold weather!!!,,[],0
44,2019-10-30 03:36:18,@DanHellie TONY TWO BAGS!! I. LOVE. YOU!!! ( PAY th’MAN!!!) 7-2  NATS!!! 2 run 9th inning insurance double at his hometown!!,,[],0
45,2019-10-30 03:36:10,@GlassJoeJP TONY TWO BAGS!! I. LOVE. YOU!!! ( PAY th’MAN!!!) 7-2  NATS!!! 2 run 9th inning insurance double at his hometown!!,,[],0
46,2019-10-30 03:35:54,@1067theFan TONY TWO BAGS!! I. LOVE. YOU!!! ( PAY th’MAN!!!) 7-2  NATS!!! 2 run 9th inning insurance double at his hometown!!,,[],0
47,2019-10-30 03:35:29,@granthpaulsen TONY TWO BAGS!! I. LOVE. YOU!!! ( PAY th’MAN!!!) 7-2  NATS!!! 2 run 9th inning insurance double at his hometown!!,,[],0
48,2019-10-30 03:28:32,School Punishment: Your Child's Legal Rights Without an IEP https://t.co/Jvt4kClQ9k,,[],0
49,2019-10-30 03:03:01,"@granthpaulsen WELL PUT, PAL!",,[],0
