,created,text,location,hashtags,locationcoor
0,2019-11-04 15:53:03,"Burger King coffee is tough, like the joe overpowers every packet of suga",,[],"30.408,-84.896,10mi"
0,2019-11-04 15:53:54,I stand with @odellhaggins as my head coach. #beatBostoncollege  🍢🍢🍢 https://t.co/sOX4ln6ed7,,[Hashtag(Text='beatBostoncollege')],"26.856,-81.144,10mi"
1,2019-11-04 12:56:58,"#art #ninja #ninjaturtles @ Moore Haven, Florida https://t.co/0E5uW3k9mt","{'type': 'Point', 'coordinates': [26.83333333, -81.1]}","[Hashtag(Text='art'), Hashtag(Text='ninja'), Hashtag(Text='ninjaturtles')]","26.856,-81.144,10mi"
2,2019-11-04 12:15:08,HA Baseball Alum @re2pect_00 came back home for the weekend and clocked him across the diamond at 93 mph⛽️⛽️🆙 He is… https://t.co/GcjkmN02br,,[],"26.856,-81.144,10mi"
3,2019-11-04 00:01:13,@CorySurls14 Me bob stoops or @Coach_Leach,,[],"26.856,-81.144,10mi"
4,2019-11-03 23:53:50,@CorySurls14 Whoa 😳,,[],"26.856,-81.144,10mi"
0,2019-11-03 19:15:22,"Not too many football games lef to tailgate so we’ve got ✌️ basketball tailgates comin’ for ya! 🍔🌭⛱🏀

All your info… https://t.co/OHVw75zJiq",,[],"28.475,-80.955,10mi"
1,2019-11-04 16:18:38,"@JDenius @EdMckee10 Maybe you could get the boys to sign it first? I'm in no rush to get it, just wanted the memorabilia 👍🏼",,[],"28.475,-80.955,10mi"
2,2019-11-04 16:16:23,@MarkCCrowley We’d like to add another: Ask for their input/feedback pre-decisions that will impact them.  Oh wait!… https://t.co/pxSMcMZlfP,,[],"28.475,-80.955,10mi"
3,2019-11-04 16:10:06,@CheckCuts I’m not gonna lie it is but I got some funny moments @taysha523 had me watch the whole shit lol,,[],"28.475,-80.955,10mi"
4,2019-11-04 16:07:46,@FoFo__C Probably the time change Zoe,,[],"28.475,-80.955,10mi"
5,2019-11-04 16:00:33,@traveljenn @panerabread Oh my gosh! That’s crazy!,,[],"28.475,-80.955,10mi"
6,2019-11-04 15:54:33,Thanks bruh! 🤞🏼 https://t.co/OTD9R4KQB6,,[],"28.475,-80.955,10mi"
7,2019-11-04 15:54:22,Appreciate it fam! https://t.co/0l0dFF1My9,,[],"28.475,-80.955,10mi"
8,2019-11-04 15:54:22,"The ride before the ride. 🚍🚌🛫✈

Do you enjoy the trip home as much as the trip to your vacation?

#longday… https://t.co/bDZY0HyBEK","{'type': 'Point', 'coordinates': [28.4514771, -81.1378023]}",[Hashtag(Text='longday')],"28.475,-80.955,10mi"
9,2019-11-04 15:52:58,I feel stressed for no reason,,[],"28.475,-80.955,10mi"
10,2019-11-04 15:51:15,Lmao guy hates the office https://t.co/RuBuddGhv5,,[],"28.475,-80.955,10mi"
11,2019-11-04 15:48:22,Close encounter ❤️#atlanticbottlenosedolphins https://t.co/nanX11tHp9,,[Hashtag(Text='atlanticbottlenosedolphins')],"28.475,-80.955,10mi"
12,2019-11-04 15:43:57,Magnums are not Vagina Friendly ‼️,,[],"28.475,-80.955,10mi"
13,2019-11-04 15:41:03,My cousin and her wife have been together for 12 years likeee bye,,[],"28.475,-80.955,10mi"
14,2019-11-04 15:40:29,@LeadershipCures I think many would respond with “It’s necessary feedback.” Some “leaders” are not willing to look… https://t.co/Z8Ub0j2o8X,,[],"28.475,-80.955,10mi"
15,2019-11-04 15:34:53,MAKE ME GIGGLE 😇 https://t.co/LxyH8edTBG,,[],"28.475,-80.955,10mi"
16,2019-11-04 15:33:17,Miami not ready for us 😝 https://t.co/yUqxdqJwp7,,[],"28.475,-80.955,10mi"
17,2019-11-04 15:30:20,"@JoeBiden And you will go down on history as “Treasonous Joe”, belonging to the most pathetic political party in American History.",,[],"28.475,-80.955,10mi"
18,2019-11-04 15:29:23,"Career tip for landing jobs like ""Specialty Beauty Advisor"" in #Titusville, FL. Go on informational interviews. The… https://t.co/RiSRLLDW8g","{'type': 'Point', 'coordinates': [28.5870516, -80.8024008]}",[Hashtag(Text='Titusville')],"28.475,-80.955,10mi"
19,2019-11-04 15:26:03,I don’t understand how people just like run for fun????? My asthma ass could never.,,[],"28.475,-80.955,10mi"
20,2019-11-04 15:25:22,Tbh the only positive to this time change is I’m finally trying Chick-fil-A breakfast 👏🏼👏🏼,,[],"28.475,-80.955,10mi"
21,2019-11-04 15:18:08,Hanging with my feathered friends... #brownpelicans https://t.co/MU0qJwQaX8,,[Hashtag(Text='brownpelicans')],"28.475,-80.955,10mi"
22,2019-11-04 15:12:33,@hope_foley Time to get to work https://t.co/cKwfu2LeF0,,[],"28.475,-80.955,10mi"
23,2019-11-04 15:07:01,@JohnDenton555 @OrlandoMagic Well put.  Tryin to to pass it round the outside isnt working.  He is being selfish no… https://t.co/q5CZCNO7eK,,[],"28.475,-80.955,10mi"
24,2019-11-04 15:01:48,@TooHeavyCrew We struggle w/ this as well 🤦🏽‍♂️,,[],"28.475,-80.955,10mi"
25,2019-11-04 14:57:47,@WESH I finally got your channel to come in!!! I had to rescan 4 or 5 times but it finally worked!!,,[],"28.475,-80.955,10mi"
26,2019-11-04 14:57:39,A gift💙🎁 https://t.co/BtFpLAEnxD,,[],"28.475,-80.955,10mi"
27,2019-11-04 14:52:48,@ryanelijah @PopeyesChicken Epic hope he got a few sandwiches too lol 😂,,[],"28.475,-80.955,10mi"
